frm_category,to_category,item_count
G0005,G1192,1
G0005,G1467,1
G0006,G0006,22
G0006,G0013,5
G0006,G0014,5
G0006,G0015,4
G0006,G0016,2
G0006,G0042,20
G0006,G0103,2
G0006,G0104,2
G0006,G0132,10
G0006,G0206,2
G0006,G0208,2
G0006,G0367,3
G0006,G0368,2
G0006,G0386,3
G0006,G0387,2
G0006,G0521,1
G0006,G0522,1
G0006,G0544,20
G0006,G0570,22
G0006,G0806,10
G0006,G0838,1
G0006,G0839,1
G0006,G1100,3
G0006,G1101,3
G0006,G1102,3
G0006,G1103,3
G0006,G1108,3
G0006,G1109,3
G0006,G1131,4
G0006,G1181,2
G0006,G1183,2
G0006,G1203,3
G0006,G1207,3
G0007,G0007,19
G0007,G0013,4
G0007,G0014,2
G0007,G0015,5
G0007,G0016,3
G0007,G0018,8
G0007,G0019,17
G0007,G0033,13
G0007,G0035,5
G0007,G0042,18
G0007,G0124,16
G0007,G0132,13
G0007,G0136,1
G0007,G0139,1
G0007,G0165,3
G0007,G0166,9
G0007,G0212,4
G0007,G0213,3
G0007,G0216,3
G0007,G0264,2
G0007,G0265,2
G0007,G0296,2
G0007,G0297,2
G0007,G0300,2
G0007,G0301,2
G0007,G0303,2
G0007,G0375,2
G0007,G0379,1
G0007,G0382,1
G0007,G0390,1
G0007,G0391,1
G0007,G0437,1
G0007,G0531,2
G0007,G0570,16
G0007,G0605,1
G0007,G0606,1
G0007,G0607,2
G0007,G0608,2
G0007,G0644,19
G0007,G0653,7
G0007,G0806,9
G0007,G0822,3
G0007,G0823,3
G0007,G0826,3
G0007,G0827,3
G0007,G0828,2
G0007,G0904,3
G0007,G0905,3
G0007,G0908,3
G0007,G0909,3
G0007,G0910,2
G0007,G1146,1
G0007,G1187,1
G0007,G1188,1
G0007,G1191,1
G0007,G1192,1
G0008,G0008,129
G0008,G0027,14
G0008,G0033,109
G0008,G0036,27
G0008,G0037,32
G0008,G0038,14
G0008,G0042,110
G0008,G0043,18
G0008,G0060,17
G0008,G0061,14
G0008,G0062,3
G0008,G0063,15
G0008,G0082,25
G0008,G0083,12
G0008,G0084,2
G0008,G0086,2
G0008,G0087,1
G0008,G0090,1
G0008,G0092,1
G0008,G0093,1
G0008,G0094,7
G0008,G0095,6
G0008,G0096,6
G0008,G0097,7
G0008,G0098,2
G0008,G0109,1
G0008,G0111,15
G0008,G0112,15
G0008,G0122,42
G0008,G0123,30
G0008,G0126,39
G0008,G0132,110
G0008,G0153,14
G0008,G0155,3
G0008,G0165,58
G0008,G0167,4
G0008,G0170,1
G0008,G0171,1
G0008,G0173,5
G0008,G0174,1
G0008,G0175,1
G0008,G0201,2
G0008,G0202,5
G0008,G0203,4
G0008,G0204,4
G0008,G0205,5
G0008,G0206,8
G0008,G0207,8
G0008,G0208,9
G0008,G0209,2
G0008,G0210,6
G0008,G0214,1
G0008,G0222,10
G0008,G0286,2
G0008,G0287,2
G0008,G0288,2
G0008,G0289,2
G0008,G0290,2
G0008,G0291,2
G0008,G0292,2
G0008,G0294,2
G0008,G0339,5
G0008,G0340,4
G0008,G0345,2
G0008,G0346,3
G0008,G0347,1
G0008,G0348,2
G0008,G0349,1
G0008,G0353,1
G0008,G0354,1
G0008,G0356,1
G0008,G0395,8
G0008,G0397,1
G0008,G0398,3
G0008,G0399,8
G0008,G0400,3
G0008,G0409,1
G0008,G0424,1
G0008,G0425,1
G0008,G0469,5
G0008,G0470,1
G0008,G0471,1
G0008,G0472,1
G0008,G0473,1
G0008,G0529,1
G0008,G0531,78
G0008,G0544,74
G0008,G0549,1
G0008,G0570,122
G0008,G0587,2
G0008,G0588,3
G0008,G0603,3
G0008,G0636,1
G0008,G0643,117
G0008,G0649,16
G0008,G0650,2
G0008,G0652,9
G0008,G0653,23
G0008,G0664,3
G0008,G0665,1
G0008,G0670,1
G0008,G0708,2
G0008,G0722,1
G0008,G0725,1
G0008,G0806,89
G0008,G0808,6
G0008,G0809,3
G0008,G0811,3
G0008,G0812,3
G0008,G0813,3
G0008,G0814,3
G0008,G0831,3
G0008,G0832,3
G0008,G0886,1
G0008,G0889,1
G0008,G0890,6
G0008,G0891,3
G0008,G0893,3
G0008,G0894,3
G0008,G0895,3
G0008,G0896,3
G0008,G0913,3
G0008,G0914,3
G0008,G0965,6
G0008,G0966,6
G0008,G0967,3
G0008,G0968,3
G0008,G0969,3
G0008,G0970,3
G0008,G0971,3
G0008,G0972,3
G0008,G1102,4
G0008,G1103,4
G0008,G1104,5
G0008,G1105,5
G0008,G1106,5
G0008,G1107,5
G0008,G1116,2
G0008,G1117,2
G0008,G1118,2
G0008,G1119,2
G0008,G1120,2
G0008,G1121,2
G0008,G1140,1
G0008,G1143,1
G0008,G1150,1
G0008,G1177,2
G0008,G1179,2
G0008,G1180,2
G0008,G1181,2
G0008,G1182,2
G0008,G1183,2
G0008,G1185,2
G0008,G1203,2
G0008,G1204,2
G0008,G1205,2
G0008,G1206,2
G0008,G1207,2
G0008,G1264,2
G0008,G1265,2
G0009,G0009,17
G0009,G0010,4
G0009,G0020,11
G0009,G0021,1
G0009,G0022,2
G0009,G0028,7
G0009,G0033,2
G0009,G0042,2
G0009,G0105,1
G0009,G0126,2
G0009,G0132,2
G0009,G0523,1
G0009,G0524,1
G0009,G0525,1
G0009,G0531,2
G0009,G0544,11
G0009,G0570,17
G0009,G0643,2
G0009,G0644,1
G0009,G0645,2
G0009,G0806,2
G0009,G0841,1
G0009,G0842,1
G0009,G0843,1
G0009,G1209,1
G0009,G1211,1
G0010,G0009,4
G0010,G0010,8
G0010,G0020,1
G0010,G0021,5
G0010,G0022,2
G0010,G0028,5
G0010,G0105,1
G0010,G0526,1
G0010,G0527,1
G0010,G0544,4
G0010,G0570,8
G0010,G0645,2
G0010,G0844,1
G0010,G0845,1
G0011,G0001,7
G0011,G0011,8
G0011,G0031,8
G0011,G0032,7
G0011,G0121,8
G0011,G0130,8
G0011,G0146,8
G0011,G0634,1
G0012,G0002,6
G0012,G0012,12
G0012,G0027,2
G0012,G0038,2
G0012,G0043,9
G0012,G0115,2
G0012,G0116,2
G0012,G0117,2
G0012,G0127,3
G0012,G0132,3
G0012,G0180,1
G0012,G0181,1
G0012,G0182,1
G0012,G0186,12
G0012,G0222,9
G0012,G0413,1
G0012,G0414,1
G0012,G0415,1
G0012,G0416,1
G0012,G0417,1
G0012,G0418,1
G0012,G0458,1
G0012,G0460,1
G0012,G0462,1
G0012,G0502,6
G0012,G0504,1
G0012,G0505,1
G0012,G0506,1
G0012,G0507,2
G0012,G0508,2
G0012,G0509,2
G0012,G0531,8
G0012,G0570,11
G0012,G0637,4
G0012,G0639,6
G0012,G0640,6
G0012,G0694,2
G0012,G0695,1
G0012,G0706,8
G0012,G0707,4
G0012,G0708,8
G0012,G0709,4
G0012,G0806,6
G0012,G0847,2
G0012,G0848,1
G0012,G0849,3
G0013,G0005,5
G0013,G0006,5
G0013,G0007,4
G0013,G0013,19
G0013,G0015,7
G0013,G0018,5
G0013,G0019,5
G0013,G0033,9
G0013,G0035,8
G0013,G0042,19
G0013,G0103,5
G0013,G0123,1
G0013,G0124,5
G0013,G0132,16
G0013,G0165,1
G0013,G0166,3
G0013,G0193,4
G0013,G0206,3
G0013,G0212,7
G0013,G0216,1
G0013,G0263,4
G0013,G0296,1
G0013,G0303,1
G0013,G0361,1
G0013,G0364,1
G0013,G0367,3
G0013,G0368,2
G0013,G0370,1
G0013,G0375,2
G0013,G0455,2
G0013,G0457,2
G0013,G0519,1
G0013,G0520,2
G0013,G0543,1
G0013,G0544,12
G0013,G0570,17
G0013,G0607,1
G0013,G0644,6
G0013,G0806,1
G0013,G0822,1
G0013,G0828,1
G0013,G0836,1
G0013,G0837,2
G0013,G0904,1
G0013,G0910,1
G0013,G1100,5
G0013,G1102,3
G0013,G1108,3
G0013,G1131,5
G0013,G1132,1
G0013,G1140,1
G0013,G1143,1
G0013,G1146,1
G0013,G1187,1
G0014,G0005,2
G0014,G0006,5
G0014,G0007,2
G0014,G0014,14
G0014,G0016,5
G0014,G0018,3
G0014,G0019,3
G0014,G0033,7
G0014,G0035,5
G0014,G0042,14
G0014,G0104,5
G0014,G0124,3
G0014,G0132,14
G0014,G0166,2
G0014,G0192,4
G0014,G0208,3
G0014,G0213,4
G0014,G0262,4
G0014,G0297,1
G0014,G0377,1
G0014,G0379,1
G0014,G0384,1
G0014,G0385,1
G0014,G0386,3
G0014,G0387,2
G0014,G0443,2
G0014,G0449,2
G0014,G0543,1
G0014,G0544,12
G0014,G0570,13
G0014,G0608,1
G0014,G0644,3
G0014,G0823,1
G0014,G0905,1
G0014,G1101,5
G0014,G1103,3
G0014,G1109,3
G0014,G1131,5
G0014,G1132,1
G0015,G0006,4
G0015,G0007,5
G0015,G0013,7
G0015,G0015,11
G0015,G0018,7
G0015,G0019,7
G0015,G0033,6
G0015,G0035,4
G0015,G0042,9
G0015,G0103,3
G0015,G0123,1
G0015,G0124,4
G0015,G0132,7
G0015,G0165,1
G0015,G0166,3
G0015,G0206,3
G0015,G0212,3
G0015,G0216,1
G0015,G0260,1
G0015,G0264,1
G0015,G0296,1
G0015,G0298,1
G0015,G0300,1
G0015,G0303,1
G0015,G0367,1
G0015,G0368,1
G0015,G0370,1
G0015,G0375,2
G0015,G0521,1
G0015,G0522,1
G0015,G0528,1
G0015,G0543,1
G0015,G0544,3
G0015,G0570,9
G0015,G0605,1
G0015,G0607,3
G0015,G0644,7
G0015,G0696,1
G0015,G0822,1
G0015,G0824,1
G0015,G0826,1
G0015,G0828,1
G0015,G0838,1
G0015,G0839,1
G0015,G0904,1
G0015,G0906,1
G0015,G0908,1
G0015,G0910,1
G0015,G1132,1
G0015,G1146,1
G0016,G0006,2
G0016,G0007,3
G0016,G0014,5
G0016,G0016,7
G0016,G0018,5
G0016,G0019,5
G0016,G0033,4
G0016,G0035,1
G0016,G0042,7
G0016,G0104,3
G0016,G0124,3
G0016,G0132,5
G0016,G0166,2
G0016,G0208,3
G0016,G0213,2
G0016,G0261,1
G0016,G0265,1
G0016,G0297,1
G0016,G0299,1
G0016,G0301,1
G0016,G0377,1
G0016,G0379,1
G0016,G0386,1
G0016,G0387,1
G0016,G0528,1
G0016,G0543,1
G0016,G0544,3
G0016,G0570,6
G0016,G0606,1
G0016,G0608,3
G0016,G0644,5
G0016,G0696,1
G0016,G0823,1
G0016,G0825,1
G0016,G0827,1
G0016,G0905,1
G0016,G0907,1
G0016,G0909,1
G0016,G1132,1
G0017,G0017,2
G0017,G0042,2
G0017,G0132,2
G0017,G0208,2
G0017,G0363,1
G0017,G0365,1
G0017,G0544,2
G0017,G0570,2
G0017,G1132,2
G0018,G0007,8
G0018,G0013,5
G0018,G0014,3
G0018,G0015,7
G0018,G0016,5
G0018,G0018,36
G0018,G0019,26
G0018,G0033,29
G0018,G0035,10
G0018,G0042,36
G0018,G0085,1
G0018,G0103,1
G0018,G0104,1
G0018,G0122,1
G0018,G0123,1
G0018,G0124,24
G0018,G0132,26
G0018,G0165,1
G0018,G0166,5
G0018,G0188,1
G0018,G0189,1
G0018,G0206,1
G0018,G0208,1
G0018,G0212,4
G0018,G0213,2
G0018,G0216,1
G0018,G0219,2
G0018,G0220,2
G0018,G0260,2
G0018,G0261,2
G0018,G0264,1
G0018,G0265,1
G0018,G0296,1
G0018,G0297,1
G0018,G0298,1
G0018,G0299,1
G0018,G0300,1
G0018,G0301,1
G0018,G0303,1
G0018,G0306,1
G0018,G0307,1
G0018,G0370,1
G0018,G0371,4
G0018,G0372,4
G0018,G0374,2
G0018,G0375,2
G0018,G0376,1
G0018,G0377,1
G0018,G0378,3
G0018,G0379,1
G0018,G0436,1
G0018,G0450,1
G0018,G0452,1
G0018,G0517,1
G0018,G0528,4
G0018,G0531,1
G0018,G0543,18
G0018,G0544,19
G0018,G0570,31
G0018,G0571,3
G0018,G0605,1
G0018,G0606,1
G0018,G0607,3
G0018,G0608,3
G0018,G0643,1
G0018,G0644,35
G0018,G0651,1
G0018,G0653,4
G0018,G0696,2
G0018,G0697,2
G0018,G0806,1
G0018,G0822,1
G0018,G0823,1
G0018,G0824,1
G0018,G0825,1
G0018,G0826,1
G0018,G0827,1
G0018,G0828,1
G0018,G0829,1
G0018,G0830,1
G0018,G0904,1
G0018,G0905,1
G0018,G0906,1
G0018,G0907,1
G0018,G0908,1
G0018,G0909,1
G0018,G0910,1
G0018,G0911,1
G0018,G0912,1
G0018,G1132,2
G0018,G1146,1
G0019,G0007,17
G0019,G0013,5
G0019,G0014,3
G0019,G0015,7
G0019,G0016,5
G0019,G0018,26
G0019,G0019,42
G0019,G0033,30
G0019,G0035,12
G0019,G0042,42
G0019,G0103,1
G0019,G0104,1
G0019,G0123,1
G0019,G0124,31
G0019,G0132,24
G0019,G0136,2
G0019,G0139,2
G0019,G0165,2
G0019,G0166,9
G0019,G0188,2
G0019,G0189,1
G0019,G0206,1
G0019,G0208,1
G0019,G0212,5
G0019,G0213,3
G0019,G0216,2
G0019,G0219,1
G0019,G0220,3
G0019,G0260,2
G0019,G0261,3
G0019,G0264,2
G0019,G0265,2
G0019,G0296,2
G0019,G0297,2
G0019,G0298,1
G0019,G0299,2
G0019,G0300,2
G0019,G0301,2
G0019,G0303,2
G0019,G0307,2
G0019,G0370,1
G0019,G0374,2
G0019,G0375,2
G0019,G0376,1
G0019,G0377,1
G0019,G0378,3
G0019,G0379,1
G0019,G0390,2
G0019,G0391,2
G0019,G0436,1
G0019,G0437,3
G0019,G0450,2
G0019,G0452,1
G0019,G0517,1
G0019,G0528,8
G0019,G0531,3
G0019,G0543,10
G0019,G0544,10
G0019,G0570,37
G0019,G0571,4
G0019,G0605,1
G0019,G0606,1
G0019,G0607,3
G0019,G0608,3
G0019,G0644,42
G0019,G0653,11
G0019,G0696,5
G0019,G0697,3
G0019,G0806,16
G0019,G0822,3
G0019,G0823,3
G0019,G0824,2
G0019,G0825,3
G0019,G0826,3
G0019,G0827,3
G0019,G0828,2
G0019,G0830,3
G0019,G0835,1
G0019,G0904,3
G0019,G0905,3
G0019,G0906,2
G0019,G0907,3
G0019,G0908,3
G0019,G0909,3
G0019,G0910,2
G0019,G0912,3
G0019,G1132,2
G0019,G1146,1
G0019,G1187,1
G0019,G1188,1
G0019,G1189,2
G0019,G1190,1
G0019,G1191,1
G0019,G1192,1
G0019,G1199,1
G0020,G0009,11
G0020,G0010,1
G0020,G0020,11
G0020,G0021,1
G0020,G0028,4
G0020,G0033,2
G0020,G0105,1
G0020,G0523,1
G0020,G0524,1
G0020,G0525,1
G0020,G0544,7
G0020,G0570,11
G0020,G0645,1
G0020,G0841,1
G0020,G0842,1
G0020,G0843,1
G0021,G0009,1
G0021,G0010,5
G0021,G0020,1
G0021,G0021,5
G0021,G0028,2
G0021,G0105,1
G0021,G0526,1
G0021,G0527,1
G0021,G0544,2
G0021,G0570,5
G0021,G0645,1
G0021,G0844,1
G0021,G0845,1
G0022,G0009,2
G0022,G0010,2
G0022,G0022,2
G0022,G0028,2
G0022,G0544,2
G0022,G0570,2
G0023,G0023,4
G0023,G0042,3
G0023,G0047,4
G0023,G0122,3
G0023,G0207,3
G0023,G0337,1
G0023,G0338,1
G0023,G0534,1
G0023,G0570,4
G0023,G0636,2
G0023,G0717,3
G0023,G0805,1
G0023,G0806,1
G0024,G0024,4
G0024,G0025,3
G0024,G0071,1
G0024,G0129,4
G0024,G0132,4
G0024,G0133,2
G0024,G0536,1
G0024,G0570,4
G0024,G0647,1
G0024,G0648,1
G0024,G0718,2
G0024,G0800,2
G0025,G0024,3
G0025,G0025,11
G0025,G0043,1
G0025,G0071,2
G0025,G0113,1
G0025,G0129,3
G0025,G0132,4
G0025,G0133,8
G0025,G0151,1
G0025,G0536,1
G0025,G0570,11
G0025,G0647,2
G0025,G0704,1
G0025,G0712,1
G0025,G0718,9
G0025,G0764,1
G0025,G0800,1
G0025,G0852,1
G0026,G0026,1
G0026,G0043,1
G0026,G0114,1
G0026,G0132,1
G0026,G0434,1
G0026,G0535,1
G0026,G0802,1
G0027,G0002,3
G0027,G0008,14
G0027,G0012,2
G0027,G0027,18
G0027,G0028,1
G0027,G0033,1
G0027,G0038,13
G0027,G0043,17
G0027,G0105,1
G0027,G0109,1
G0027,G0110,1
G0027,G0115,1
G0027,G0116,1
G0027,G0125,1
G0027,G0126,6
G0027,G0127,2
G0027,G0132,6
G0027,G0153,14
G0027,G0167,2
G0027,G0170,1
G0027,G0171,1
G0027,G0173,5
G0027,G0174,1
G0027,G0175,1
G0027,G0176,1
G0027,G0186,2
G0027,G0209,2
G0027,G0214,1
G0027,G0222,11
G0027,G0409,1
G0027,G0413,1
G0027,G0414,1
G0027,G0427,1
G0027,G0469,5
G0027,G0470,1
G0027,G0471,1
G0027,G0472,1
G0027,G0473,1
G0027,G0504,1
G0027,G0505,1
G0027,G0531,17
G0027,G0543,1
G0027,G0544,15
G0027,G0566,1
G0027,G0568,1
G0027,G0570,17
G0027,G0587,2
G0027,G0588,2
G0027,G0603,2
G0027,G0637,3
G0027,G0639,2
G0027,G0641,1
G0027,G0643,9
G0027,G0645,1
G0027,G0653,5
G0027,G0664,2
G0027,G0670,1
G0027,G0706,1
G0027,G0707,1
G0027,G0708,4
G0027,G0709,2
G0027,G0806,9
G0027,G0847,1
G0027,G0848,1
G0027,G0850,1
G0027,G1140,1
G0028,G0009,7
G0028,G0010,5
G0028,G0020,4
G0028,G0021,2
G0028,G0022,2
G0028,G0027,1
G0028,G0028,55
G0028,G0033,3
G0028,G0058,1
G0028,G0105,1
G0028,G0120,1
G0028,G0125,3
G0028,G0126,1
G0028,G0131,2
G0028,G0143,18
G0028,G0144,1
G0028,G0145,1
G0028,G0501,3
G0028,G0531,2
G0028,G0543,3
G0028,G0544,12
G0028,G0570,17
G0028,G0595,9
G0028,G0596,7
G0028,G0626,1
G0028,G0645,5
G0028,G0713,8
G0028,G0714,9
G0028,G0730,11
G0028,G0731,8
G0028,G0732,2
G0028,G0733,1
G0028,G0806,2
G0028,G0883,1
G0028,G0884,1
G0028,G0916,1
G0029,G0029,1
G0029,G0049,1
G0029,G0050,1
G0029,G0051,1
G0029,G0076,1
G0029,G0530,1
G0030,G0030,1
G0030,G0044,1
G0030,G0438,1
G0030,G0570,1
G0031,G0001,52
G0031,G0011,8
G0031,G0031,149
G0031,G0032,50
G0031,G0034,1
G0031,G0045,2
G0031,G0048,1
G0031,G0052,1
G0031,G0055,1
G0031,G0056,1
G0031,G0070,2
G0031,G0073,2
G0031,G0074,1
G0031,G0075,2
G0031,G0077,1
G0031,G0078,1
G0031,G0079,1
G0031,G0121,59
G0031,G0130,144
G0031,G0146,102
G0031,G0158,1
G0031,G0159,1
G0031,G0226,3
G0031,G0533,1
G0031,G0542,3
G0031,G0570,1
G0031,G0609,1
G0031,G0611,2
G0031,G0612,2
G0031,G0618,1
G0031,G0619,1
G0031,G0620,1
G0031,G0621,1
G0031,G0622,1
G0031,G0624,1
G0031,G0633,3
G0031,G0634,95
G0031,G0678,1
G0031,G0679,1
G0031,G0680,1
G0031,G0681,1
G0031,G0682,1
G0031,G0683,1
G0031,G0684,1
G0031,G0685,1
G0031,G0686,1
G0031,G0687,1
G0031,G0705,1
G0031,G0723,1
G0031,G0724,1
G0031,G0761,1
G0031,G0762,5
G0031,G0807,1
G0031,G0920,1
G0031,G0950,1
G0031,G0954,1
G0031,G0955,1
G0031,G0956,1
G0031,G0957,1
G0031,G0961,1
G0032,G0001,36
G0032,G0011,7
G0032,G0031,50
G0032,G0032,50
G0032,G0034,1
G0032,G0048,1
G0032,G0052,1
G0032,G0056,1
G0032,G0070,2
G0032,G0074,1
G0032,G0075,2
G0032,G0077,1
G0032,G0121,40
G0032,G0130,47
G0032,G0146,44
G0032,G0533,1
G0032,G0542,3
G0032,G0611,1
G0032,G0612,1
G0032,G0633,1
G0032,G0634,12
G0032,G0678,1
G0032,G0679,1
G0032,G0807,1
G0032,G0961,1
G0033,G0003,19
G0033,G0004,19
G0033,G0005,15
G0033,G0007,13
G0033,G0008,109
G0033,G0009,2
G0033,G0013,9
G0033,G0014,7
G0033,G0015,6
G0033,G0016,4
G0033,G0018,29
G0033,G0019,30
G0033,G0020,2
G0033,G0027,1
G0033,G0028,3
G0033,G0033,244
G0033,G0035,39
G0033,G0036,27
G0033,G0037,39
G0033,G0039,19
G0033,G0040,19
G0033,G0042,239
G0033,G0053,1
G0033,G0054,1
G0033,G0060,16
G0033,G0061,17
G0033,G0062,3
G0033,G0063,15
G0033,G0082,29
G0033,G0083,15
G0033,G0084,2
G0033,G0085,2
G0033,G0086,2
G0033,G0087,1
G0033,G0091,7
G0033,G0092,1
G0033,G0093,1
G0033,G0094,7
G0033,G0095,6
G0033,G0096,6
G0033,G0097,7
G0033,G0098,2
G0033,G0099,7
G0033,G0100,6
G0033,G0101,6
G0033,G0102,7
G0033,G0103,3
G0033,G0104,3
G0033,G0105,1
G0033,G0108,5
G0033,G0111,15
G0033,G0112,15
G0033,G0122,61
G0033,G0123,57
G0033,G0124,49
G0033,G0125,3
G0033,G0126,36
G0033,G0132,208
G0033,G0134,1
G0033,G0135,1
G0033,G0136,3
G0033,G0137,1
G0033,G0138,1
G0033,G0139,2
G0033,G0140,2
G0033,G0141,2
G0033,G0144,1
G0033,G0145,1
G0033,G0165,64
G0033,G0166,12
G0033,G0188,4
G0033,G0189,3
G0033,G0192,4
G0033,G0193,4
G0033,G0194,1
G0033,G0195,1
G0033,G0196,1
G0033,G0197,1
G0033,G0201,2
G0033,G0202,10
G0033,G0203,4
G0033,G0204,4
G0033,G0205,5
G0033,G0206,9
G0033,G0207,11
G0033,G0208,13
G0033,G0209,5
G0033,G0210,6
G0033,G0211,5
G0033,G0212,7
G0033,G0213,4
G0033,G0214,4
G0033,G0215,1
G0033,G0216,3
G0033,G0223,5
G0033,G0224,4
G0033,G0225,4
G0033,G0260,6
G0033,G0261,6
G0033,G0262,6
G0033,G0263,6
G0033,G0280,2
G0033,G0281,2
G0033,G0282,1
G0033,G0283,1
G0033,G0286,4
G0033,G0287,4
G0033,G0288,2
G0033,G0289,2
G0033,G0290,2
G0033,G0291,2
G0033,G0292,2
G0033,G0293,2
G0033,G0294,2
G0033,G0295,2
G0033,G0296,2
G0033,G0297,2
G0033,G0298,2
G0033,G0299,2
G0033,G0302,2
G0033,G0303,2
G0033,G0308,2
G0033,G0309,2
G0033,G0310,2
G0033,G0339,5
G0033,G0340,4
G0033,G0341,4
G0033,G0342,5
G0033,G0343,4
G0033,G0344,4
G0033,G0345,2
G0033,G0346,3
G0033,G0347,1
G0033,G0348,2
G0033,G0349,1
G0033,G0350,1
G0033,G0351,1
G0033,G0352,1
G0033,G0353,1
G0033,G0354,1
G0033,G0355,1
G0033,G0356,1
G0033,G0370,1
G0033,G0371,4
G0033,G0372,4
G0033,G0373,1
G0033,G0374,2
G0033,G0375,2
G0033,G0376,1
G0033,G0377,1
G0033,G0378,3
G0033,G0379,1
G0033,G0380,1
G0033,G0381,1
G0033,G0382,1
G0033,G0383,1
G0033,G0388,1
G0033,G0389,1
G0033,G0390,4
G0033,G0391,4
G0033,G0392,1
G0033,G0393,2
G0033,G0394,2
G0033,G0395,8
G0033,G0396,3
G0033,G0397,1
G0033,G0398,3
G0033,G0399,8
G0033,G0400,3
G0033,G0401,1
G0033,G0437,3
G0033,G0442,1
G0033,G0443,2
G0033,G0444,2
G0033,G0445,1
G0033,G0446,2
G0033,G0447,1
G0033,G0448,1
G0033,G0449,2
G0033,G0450,2
G0033,G0451,1
G0033,G0452,1
G0033,G0453,1
G0033,G0454,1
G0033,G0455,2
